Номер,Дата,Модель,Тип,Цена,Цвет,Тип оплаты,Растаможка,Автосалон
1,2024-04-15,BYD e2,Электромобиль,236600000,Серебристый,Полная оплата,С растаможкой,BYD Megawatt Navoi
2,2024-08-19,BYD e2,Электромобиль,236600000,Синий,Полная оплата,С растаможкой,BYD Megawatt Navoi
3,2024-09-18,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Полная оплата,С растаможкой,AVTOSALON BYD
4,2024-01-08,BYD e2,Электромобиль,236600000,Серебристый,Кредит,Без растаможки,BYD Megawatt Navoi
5,2024-05-11,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Полная оплата,С растаможкой,BYD Sergeli
6,2024-06-17,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Кредит,С растаможкой,BYD Megawatt Suntown
7,2024-10-28,BYD Seagull,Электромобиль,208300000,Красный,Полная оплата,Без растаможки,BYD Yashnobod
8,2024-12-14,BYD Seagull,Электромобиль,208300000,Черный,Кредит,Без растаможки,BYD ROHAT
9,2024-07-26,BYD Chazor 55KM Luxe,Гибрид,279400500,Белый,Кредит,Без растаможки,BYD Megawatt Navoi
10,2024-04-13,BYD e2,Электромобиль,236600000,Красный,Кредит,Без растаможки,BYD ROHAT
11,2024-12-01,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Черный,Полная оплата,С растаможкой,BYD Yakkasaray
12,2024-01-06,BYD Han,Электромобиль,613581000,Зеленый,Полная оплата,С растаможкой,BYD Yakkasaray
13,2024-06-28,BYD Chazor 55KM Luxe,Гибрид,279400500,Красный,Кредит,Без растаможки,BYD Megawatt Navoi
14,2024-05-26,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Синий,Полная оплата,Без растаможки,BYD Oloy
15,2024-06-25,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Полная оплата,С растаможкой,BYD Yakkasaray
16,2024-10-03,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Серебристый,Полная оплата,С растаможкой,BYD KELES
17,2024-10-29,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Белый,Полная оплата,С растаможкой,BYD ROHAT
18,2024-11-02,BYD e2,Электромобиль,236600000,Зеленый,Полная оплата,Без растаможки,BYD Yakkasaray
19,2024-01-22,BYD Chazor 55KM Luxe,Гибрид,279400500,Белый,Кредит,Без растаможки,BYD ROHAT
20,2024-12-25,BYD Seagull,Электромобиль,208300000,Черный,Кредит,С растаможкой,AVTOSALON BYD
21,2024-02-22,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Кредит,Без растаможки,BYD Sergeli
22,2024-06-04,BYD Seagull,Электромобиль,208300000,Черный,Кредит,Без растаможки,BYD Sergeli
23,2024-05-08,BYD Yuan Up,Электромобиль,266700000,Серебристый,Кредит,Без растаможки,BYD KELES
24,2024-11-05,BYD Yuan Up,Электромобиль,266700000,Синий,Кредит,Без растаможки,BYD Yakkasaray
25,2024-08-26,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Полная оплата,С растаможкой,BYD Qibray
26,2024-06-11,BYD Seagull,Электромобиль,208300000,Зеленый,Полная оплата,Без растаможки,BYD Yakkasaray
27,2024-10-23,BYD Yuan Up,Электромобиль,266700000,Красный,Полная оплата,С растаможкой,BYD Service
28,2024-09-19,BYD Seagull,Электромобиль,208300000,Красный,Кредит,С растаможкой,BYD KELES
29,2024-09-15,BYD Seagull,Электромобиль,208300000,Черный,Полная оплата,С растаможкой,BYD KELES
30,2024-05-18,BYD Yuan Up,Электромобиль,266700000,Синий,Полная оплата,С растаможкой,BYD Chigatoy
31,2024-11-25,BYD Seagull,Электромобиль,208300000,Красный,Кредит,Без растаможки,BYD Oloy
32,2024-02-10,BYD Han,Электромобиль,613581000,Черный,Полная оплата,Без растаможки,BYD KELES
33,2024-11-04,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Серебристый,Полная оплата,С растаможкой,BYD ROHAT
34,2024-01-10,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Серебристый,Кредит,Без растаможки,BYD Service
35,2024-09-12,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Черный,Полная оплата,Без растаможки,BYD Megawatt Suntown
36,2024-01-01,BYD Seagull,Электромобиль,208300000,Белый,Кредит,С растаможкой,BYD Sergeli
37,2024-08-17,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Синий,Кредит,Без растаможки,BYD Megawatt Navoi
38,2024-07-22,BYD Chazor 55KM Active,Гибрид,251459100,Зеленый,Кредит,С растаможкой,AVTOSALON BYD
39,2024-07-10,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Кредит,С растаможкой,BYD Oloy
40,2024-07-27,BYD Han,Электромобиль,613581000,Синий,Полная оплата,Без растаможки,BYD KELES
41,2024-05-25,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Черный,Полная оплата,С растаможкой,BYD ROHAT
42,2024-03-11,BYD Yuan Up,Электромобиль,266700000,Серебристый,Кредит,С растаможкой,BYD Megawatt Navoi
43,2024-06-16,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Полная оплата,С растаможкой,BYD Megawatt Suntown
44,2024-10-14,BYD Han,Электромобиль,613581000,Зеленый,Полная оплата,С растаможкой,BYD KELES
45,2024-09-08,BYD e2,Электромобиль,236600000,Черный,Кредит,С растаможкой,BYD Yakkasaray
46,2024-04-27,BYD Chazor 55KM Luxe,Гибрид,279400500,Зеленый,Кредит,Без растаможки,BYD Yashnobod
47,2024-10-15,BYD Chazor 55KM Active,Гибрид,251459100,Красный,Кредит,С растаможкой,BYD ROHAT
48,2024-08-20,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Кредит,С растаможкой,BYD Chigatoy
49,2024-03-20,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Полная оплата,Без растаможки,BYD Megawatt Navoi
50,2024-04-05,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Кредит,С растаможкой,BYD ROHAT
51,2024-11-18,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Белый,Полная оплата,Без растаможки,BYD Qibray
52,2024-06-21,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Полная оплата,С растаможкой,BYD Chigatoy
53,2024-11-02,BYD Han,Электромобиль,613581000,Синий,Полная оплата,Без растаможки,BYD Yakkasaray
54,2024-12-29,BYD e2,Электромобиль,236600000,Синий,Кредит,С растаможкой,BYD Yashnobod
55,2024-10-09,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Красный,Кредит,С растаможкой,BYD Chigatoy
56,2024-04-13,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Зеленый,Полная оплата,С растаможкой,BYD Service
57,2024-10-02,BYD e2,Электромобиль,236600000,Зеленый,Полная оплата,Без растаможки,BYD KELES
58,2024-05-22,BYD Han,Электромобиль,613581000,Красный,Кредит,С растаможкой,BYD Megawatt Suntown
59,2024-06-20,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Полная оплата,С растаможкой,BYD KELES
60,2024-12-13,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Серебристый,Кредит,Без растаможки,BYD Yunusobod
61,2024-10-05,BYD Chazor 55KM Active,Гибрид,251459100,Черный,Полная оплата,Без растаможки,BYD Megawatt Navoi
62,2024-02-24,BYD Han,Электромобиль,613581000,Белый,Кредит,С растаможкой,BYD Megawatt Suntown
63,2024-03-15,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Синий,Полная оплата,С растаможкой,AVTOSALON BYD
64,2024-09-28,BYD e2,Электромобиль,236600000,Черный,Кредит,Без растаможки,BYD Yakkasaray
65,2024-03-18,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Полная оплата,С растаможкой,BYD ROHAT
66,2024-08-02,BYD Chazor 55KM Active,Гибрид,251459100,Серебристый,Кредит,Без растаможки,AVTOSALON BYD
67,2024-11-16,BYD Chazor 55KM Luxe,Гибрид,279400500,Серебристый,Полная оплата,С растаможкой,BYD Oloy
68,2024-11-20,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Серебристый,Кредит,Без растаможки,BYD KELES
69,2024-10-20,BYD Chazor 55KM Luxe,Гибрид,279400500,Серебристый,Кредит,С растаможкой,BYD Yunusobod
70,2024-10-10,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Синий,Кредит,Без растаможки,BYD Yakkasaray
71,2024-02-27,BYD e2,Электромобиль,236600000,Белый,Полная оплата,Без растаможки,BYD Oloy
72,2024-01-18,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Черный,Полная оплата,С растаможкой,BYD Chigatoy
73,2024-07-26,BYD Yuan Up,Электромобиль,266700000,Синий,Полная оплата,Без растаможки,BYD KELES
74,2024-12-26,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Красный,Кредит,С растаможкой,BYD Chigatoy
75,2024-08-23,BYD Seagull,Электромобиль,208300000,Красный,Кредит,Без растаможки,BYD KELES
76,2024-03-23,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Серебристый,Кредит,С растаможкой,AVTOSALON BYD
77,2024-12-29,BYD Seagull,Электромобиль,208300000,Серебристый,Полная оплата,С растаможкой,BYD Megawatt Navoi
78,2024-07-13,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Зеленый,Полная оплата,Без растаможки,BYD Yakkasaray
79,2024-12-18,BYD Han,Электромобиль,613581000,Черный,Полная оплата,С растаможкой,BYD ROHAT
80,2024-02-01,BYD Yuan Up,Электромобиль,266700000,Черный,Полная оплата,Без растаможки,BYD Service
81,2024-02-05,BYD Yuan Up,Электромобиль,266700000,Красный,Полная оплата,С растаможкой,AVTOSALON BYD
82,2024-05-20,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Полная оплата,Без растаможки,AVTOSALON BYD
83,2024-01-25,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Серебристый,Полная оплата,С растаможкой,BYD Qibray
84,2024-09-24,BYD Yuan Up,Электромобиль,266700000,Серебристый,Полная оплата,Без растаможки,BYD Yunusobod
85,2024-04-23,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Красный,Полная оплата,Без растаможки,BYD Qibray
86,2024-03-27,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Белый,Кредит,С растаможкой,BYD Megawatt Suntown
87,2024-10-02,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Красный,Кредит,Без растаможки,BYD Megawatt Suntown
88,2024-12-22,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Зеленый,Полная оплата,Без растаможки,BYD Yakkasaray
89,2024-02-03,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Серебристый,Кредит,Без растаможки,BYD Yunusobod
90,2024-07-19,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Синий,Полная оплата,С растаможкой,AVTOSALON BYD
91,2024-06-03,BYD Han,Электромобиль,613581000,Черный,Полная оплата,Без растаможки,BYD Megawatt Suntown
92,2024-03-25,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Черный,Полная оплата,С растаможкой,BYD Oloy
93,2024-12-27,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Кредит,Без растаможки,BYD Sergeli
94,2024-05-20,BYD Chazor 55KM Active,Гибрид,251459100,Синий,Кредит,С растаможкой,BYD Oloy
95,2024-11-06,BYD Chazor 55KM Luxe,Гибрид,279400500,Серебристый,Полная оплата,Без растаможки,BYD KELES
96,2024-06-16,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Кредит,Без растаможки,BYD Chigatoy
97,2024-06-18,BYD Yuan Up,Электромобиль,266700000,Зеленый,Полная оплата,С растаможкой,BYD Service
98,2024-12-10,BYD Chazor 55KM Luxe,Гибрид,279400500,Красный,Полная оплата,С растаможкой,BYD Qibray
99,2024-05-09,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Синий,Кредит,С растаможкой,BYD Sergeli
100,2024-06-23,BYD Chazor 55KM Active,Гибрид,251459100,Синий,Кредит,С растаможкой,BYD KELES
101,2024-07-11,BYD Chazor 55KM Luxe,Гибрид,279400500,Красный,Полная оплата,Без растаможки,BYD KELES
102,2024-06-21,BYD Han,Электромобиль,613581000,Белый,Полная оплата,С растаможкой,BYD Yunusobod
103,2024-11-08,BYD Han,Электромобиль,613581000,Черный,Кредит,Без растаможки,BYD Chigatoy
104,2024-02-05,BYD e2,Электромобиль,236600000,Белый,Кредит,Без растаможки,BYD Chigatoy
105,2024-02-08,BYD Chazor 55KM Active,Гибрид,251459100,Серебристый,Кредит,С растаможкой,BYD Service
106,2024-08-17,BYD Seagull,Электромобиль,208300000,Красный,Полная оплата,Без растаможки,BYD Service
107,2024-01-24,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Синий,Полная оплата,С растаможкой,AVTOSALON BYD
108,2024-12-17,BYD Seagull,Электромобиль,208300000,Белый,Кредит,С растаможкой,BYD Yakkasaray
109,2024-06-12,BYD Seagull,Электромобиль,208300000,Белый,Полная оплата,С растаможкой,BYD Sergeli
110,2024-03-21,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Черный,Полная оплата,Без растаможки,BYD Yashnobod
111,2024-01-14,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Белый,Кредит,Без растаможки,BYD KELES
112,2024-08-26,BYD Chazor 55KM Active,Гибрид,251459100,Белый,Полная оплата,С растаможкой,BYD Megawatt Navoi
113,2024-11-14,BYD Chazor 55KM Active,Гибрид,251459100,Черный,Кредит,С растаможкой,BYD Yakkasaray
114,2024-07-30,BYD Yuan Up,Электромобиль,266700000,Серебристый,Полная оплата,Без растаможки,BYD Qibray
115,2024-08-24,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Черный,Кредит,С растаможкой,BYD Oloy
116,2024-11-11,BYD Han,Электромобиль,613581000,Красный,Кредит,С растаможкой,BYD Chigatoy
117,2024-08-26,BYD Yuan Up,Электромобиль,266700000,Белый,Полная оплата,Без растаможки,BYD Yakkasaray
118,2024-10-08,BYD Yuan Up,Электромобиль,266700000,Черный,Кредит,С растаможкой,BYD Chigatoy
119,2024-12-23,BYD Yuan Up,Электромобиль,266700000,Зеленый,Полная оплата,Без растаможки,BYD Yashnobod
120,2024-12-21,BYD Yuan Up,Электромобиль,266700000,Зеленый,Полная оплата,Без растаможки,BYD KELES
121,2024-11-15,BYD Seagull,Электромобиль,208300000,Синий,Кредит,С растаможкой,BYD Megawatt Navoi
122,2024-10-21,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Черный,Кредит,С растаможкой,BYD Yakkasaray
123,2024-11-24,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Синий,Полная оплата,С растаможкой,BYD Service
124,2024-07-19,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Зеленый,Полная оплата,Без растаможки,BYD Qibray
125,2024-11-23,BYD Seagull,Электромобиль,208300000,Серебристый,Кредит,С растаможкой,BYD Megawatt Suntown
126,2024-04-27,BYD Chazor 55KM Luxe,Гибрид,279400500,Синий,Полная оплата,С растаможкой,BYD Yakkasaray
127,2024-07-10,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Зеленый,Кредит,Без растаможки,BYD Qibray
128,2024-05-18,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Черный,Полная оплата,С растаможкой,BYD Service
129,2024-03-16,BYD Yuan Up,Электромобиль,266700000,Красный,Полная оплата,С растаможкой,BYD Yashnobod
130,2024-10-13,BYD Han,Электромобиль,613581000,Черный,Кредит,С растаможкой,BYD Yashnobod
131,2024-09-15,BYD Chazor 55KM Active,Гибрид,251459100,Зеленый,Полная оплата,С растаможкой,BYD ROHAT
132,2024-02-18,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Красный,Кредит,С растаможкой,BYD Chigatoy
133,2024-06-18,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Черный,Кредит,С растаможкой,BYD Sergeli
134,2024-02-07,BYD Seagull,Электромобиль,208300000,Зеленый,Полная оплата,Без растаможки,BYD ROHAT
135,2024-03-13,BYD e2,Электромобиль,236600000,Серебристый,Полная оплата,С растаможкой,BYD ROHAT
136,2024-12-18,BYD Yuan Up,Электромобиль,266700000,Синий,Кредит,С растаможкой,BYD Service
137,2024-04-03,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Серебристый,Кредит,Без растаможки,BYD Qibray
138,2024-09-30,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Кредит,Без растаможки,BYD Yashnobod
139,2024-04-25,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Черный,Кредит,Без растаможки,BYD Megawatt Navoi
140,2024-12-02,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Полная оплата,Без растаможки,BYD Yunusobod
141,2024-07-12,BYD Han,Электромобиль,613581000,Черный,Полная оплата,Без растаможки,AVTOSALON BYD
142,2024-04-06,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Синий,Кредит,С растаможкой,BYD Yashnobod
143,2024-10-05,BYD Han,Электромобиль,613581000,Белый,Полная оплата,С растаможкой,BYD Megawatt Suntown
144,2024-07-28,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Черный,Полная оплата,Без растаможки,BYD Megawatt Navoi
145,2024-12-21,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Зеленый,Полная оплата,С растаможкой,BYD KELES
146,2024-06-04,BYD Chazor 55KM Active,Гибрид,251459100,Синий,Кредит,Без растаможки,BYD Service
147,2024-10-21,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Кредит,С растаможкой,BYD Yunusobod
148,2024-08-06,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Черный,Кредит,Без растаможки,BYD Qibray
149,2024-11-27,BYD Chazor 55KM Active,Гибрид,251459100,Синий,Кредит,С растаможкой,BYD Oloy
150,2024-10-04,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Белый,Кредит,Без растаможки,BYD Megawatt Navoi
151,2024-09-24,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Серебристый,Полная оплата,Без растаможки,BYD Megawatt Suntown
152,2024-08-14,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Кредит,Без растаможки,BYD Service
153,2024-08-16,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Белый,Кредит,Без растаможки,BYD Chigatoy
154,2024-09-04,BYD Yuan Up,Электромобиль,266700000,Зеленый,Полная оплата,Без растаможки,BYD ROHAT
155,2024-02-15,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Серебристый,Полная оплата,Без растаможки,BYD Yakkasaray
156,2024-01-22,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Черный,Кредит,С растаможкой,BYD Chigatoy
157,2024-04-04,BYD Chazor 55KM Active,Гибрид,251459100,Белый,Полная оплата,Без растаможки,BYD Oloy
158,2024-06-19,BYD e2,Электромобиль,236600000,Белый,Полная оплата,Без растаможки,BYD Chigatoy
159,2024-04-10,BYD e2,Электромобиль,236600000,Зеленый,Кредит,Без растаможки,BYD Yakkasaray
160,2024-03-06,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Полная оплата,С растаможкой,BYD Megawatt Navoi
161,2024-03-24,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Синий,Кредит,Без растаможки,BYD Service
162,2024-10-29,BYD Chazor 55KM Active,Гибрид,251459100,Зеленый,Полная оплата,С растаможкой,BYD Yakkasaray
163,2024-03-07,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Серебристый,Полная оплата,С растаможкой,BYD Megawatt Suntown
164,2024-11-20,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Синий,Кредит,С растаможкой,BYD Sergeli
165,2024-11-22,BYD Chazor 55KM Active,Гибрид,251459100,Красный,Полная оплата,Без растаможки,BYD KELES
166,2024-03-29,BYD Han,Электромобиль,613581000,Красный,Кредит,С растаможкой,BYD Megawatt Navoi
167,2024-10-18,BYD Chazor 55KM Luxe,Гибрид,279400500,Черный,Кредит,С растаможкой,BYD Megawatt Suntown
168,2024-11-29,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Полная оплата,С растаможкой,AVTOSALON BYD
169,2024-08-19,BYD Yuan Up,Электромобиль,266700000,Черный,Полная оплата,Без растаможки,AVTOSALON BYD
170,2024-08-30,BYD Han,Электромобиль,613581000,Синий,Полная оплата,С растаможкой,BYD Oloy
171,2024-03-19,BYD Seagull,Электромобиль,208300000,Красный,Кредит,Без растаможки,BYD Oloy
172,2024-05-08,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Красный,Полная оплата,Без растаможки,BYD Yunusobod
173,2024-10-03,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Серебристый,Полная оплата,С растаможкой,BYD Chigatoy
174,2024-11-09,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Кредит,С растаможкой,BYD Yakkasaray
175,2024-11-20,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Серебристый,Полная оплата,Без растаможки,BYD Yakkasaray
176,2024-04-04,BYD Chazor 55KM Luxe,Гибрид,279400500,Серебристый,Полная оплата,Без растаможки,BYD Qibray
177,2024-11-05,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Полная оплата,Без растаможки,BYD Sergeli
178,2024-04-19,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Черный,Кредит,С растаможкой,BYD Oloy
179,2024-02-03,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Полная оплата,Без растаможки,BYD KELES
180,2024-01-13,BYD Han,Электромобиль,613581000,Зеленый,Кредит,С растаможкой,BYD Oloy
181,2024-10-03,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Кредит,Без растаможки,BYD Megawatt Navoi
182,2024-01-06,BYD Chazor 55KM Active,Гибрид,251459100,Синий,Полная оплата,Без растаможки,BYD ROHAT
183,2024-05-22,BYD e2,Электромобиль,236600000,Серебристый,Кредит,С растаможкой,BYD ROHAT
184,2024-03-21,BYD e2,Электромобиль,236600000,Белый,Полная оплата,С растаможкой,BYD Yunusobod
185,2024-10-01,BYD Seagull,Электромобиль,208300000,Серебристый,Кредит,Без растаможки,AVTOSALON BYD
186,2024-12-14,BYD Chazor 55KM Luxe,Гибрид,279400500,Серебристый,Кредит,Без растаможки,BYD Megawatt Navoi
187,2024-01-27,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Кредит,С растаможкой,BYD Sergeli
188,2024-05-24,BYD e2,Электромобиль,236600000,Черный,Кредит,С растаможкой,BYD Megawatt Navoi
189,2024-12-07,BYD Yuan Up,Электромобиль,266700000,Красный,Полная оплата,С растаможкой,BYD KELES
190,2024-11-17,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Красный,Кредит,С растаможкой,BYD Oloy
191,2024-02-10,BYD e2,Электромобиль,236600000,Красный,Кредит,С растаможкой,BYD ROHAT
192,2024-12-12,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Красный,Полная оплата,С растаможкой,BYD Yakkasaray
193,2024-08-07,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Красный,Полная оплата,С растаможкой,BYD Yunusobod
194,2024-04-06,BYD Chazor 55KM Luxe,Гибрид,279400500,Белый,Полная оплата,Без растаможки,BYD KELES
195,2024-03-30,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Черный,Кредит,Без растаможки,BYD Yashnobod
196,2024-05-23,BYD Chazor 55KM Active,Гибрид,251459100,Зеленый,Кредит,С растаможкой,BYD Megawatt Navoi
197,2024-05-30,BYD Han,Электромобиль,613581000,Зеленый,Полная оплата,Без растаможки,BYD Megawatt Navoi
198,2024-03-15,BYD Chazor 55KM Luxe,Гибрид,279400500,Зеленый,Полная оплата,С растаможкой,BYD Yunusobod
199,2024-06-17,BYD Chazor 55KM Active,Гибрид,251459100,Красный,Полная оплата,С растаможкой,BYD Oloy
200,2024-11-26,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Черный,Кредит,С растаможкой,AVTOSALON BYD
